QuoteNumber,QuoteConversion_Flag
3,0.979680926
5,0.972725315
7,0.968680917
9,0.976907899
10,0.880858387
11,0.973976155
15,0.980346931
16,0.972554377
17,0.98072
21,0.980917256
23,0.972869265
24,0.792599633
27,0.980446598
31,0.873032199
33,0.956047794
34,0.9661677
36,0.979773831
39,0.9805408
42,0.949968524
43,0.965830285
46,0.927428963
48,0.912685071
49,0.949139485
52,0.956180518
54,0.118421545
55,0.195537559
56,0.008502059
58,0.975404306
60,0.980338538
61,0.97482224
63,0.649419745
67,0.915504022
68,0.98070762
69,0.382585462
75,0.979962678
81,0.974287951
82,0.785078663
98,0.857725213
100,0.976513322
107,0.44211976
108,0.029123849
110,0.974965478
113,0.975386039
115,0.979661427
116,0.914494004
119,0.956732326
120,0.97275282
122,0.980438197
125,0.008794627
130,0.968640007
132,0.854479562
135,0.967632134
137,0.969071723
138,0.964905288
144,0.980895957
145,0.906951895
146,0.975232631
150,0.968953409
155,0.980096172
158,0.971255067
159,0.980444283
160,0.979328489
162,0.875190698
163,0.981355832
164,0.979863593
165,0.980412995
168,0.972388966
172,0.958510256
173,0.028578107
174,0.974323966
175,0.976365821
176,0.835511601
178,0.980668266
181,0.977558292
183,0.973449289
190,0.241480608
198,0.968763796
200,0.977384677
201,0.979952185
204,0.869186398
205,0.292819955
207,0.006827993
210,0.968426097
211,0.015579695
213,0.977723342
215,0.967747489
218,0.981308678
222,0.981421221
223,0.969629776
227,0.016581642
228,0.979771462
231,0.143263709
238,0.92936724
241,0.981108968
245,0.96086359
253,0.981407051
257,0.23281005
263,0.96774674
264,0.97972625
265,0.981414058
274,0.976593127
275,0.203879527
276,0.965522637
279,0.940967052
280,0.980674665
282,0.968936524
283,0.849296739
285,0.584294124
289,0.973327913
290,0.971294186
292,0.934964994
294,0.008668119
301,0.012331092
304,0.975006402
307,0.968867142
309,0.723384876
310,0.979790662
311,0.972034823
312,0.980070674
314,0.974819702
316,0.980335056
318,0.008779694
321,0.972906126
326,0.97979014
330,0.980638986
331,0.980554224
332,0.973548278
333,0.966188729
337,0.028390925
338,0.974429404
339,0.96978512
340,0.979929141
344,0.331157218
346,0.749863874
348,0.967513668
349,0.959908896
350,0.921237194
351,0.980388087
352,0.981422542
355,0.96823688
358,0.977038429
361,0.972569155
363,0.969072265
364,0.007158531
365,0.980605355
366,0.980395005
367,0.980367615
368,0.544977379
371,0.009037723
374,0.014898045
378,0.980643617
380,0.971025842
382,0.012515833
385,0.969118974
390,0.707753107
393,0.979737423
401,0.921866934
402,0.980616839
403,0.962154363
407,0.979741771
408,0.90140014
409,0.966494597
410,0.979885173
412,0.980294038
416,0.976680431
424,0.980402521
425,0.980369778
427,0.539255432
430,0.980223928
438,0.979925921
439,0.479891011
441,0.97994001
447,0.017291879
449,0.012380538
452,0.882455848
453,0.980435269
457,0.372275278
464,0.975753487
465,0.477182912
467,0.218741043
468,0.980056075
469,0.969768191
470,0.981203999
473,0.974010866
474,0.980475574
475,0.974577127
