QuoteNumber,QuoteConversion_Flag
3,0.999153
5,0.9566483
7,0.9776039
9,0.9952173
10,0.74093306
11,0.98327535
15,0.99990773
16,0.9766594
17,0.99992293
21,0.9999794
23,0.9666613
24,0.6186293
27,0.99995106
31,0.7554491
33,0.9271404
34,0.9439217
36,0.9991333
39,0.99990624
42,0.91198885
43,0.8570552
46,0.970287
48,0.87544084
49,0.8316516
52,0.93137455
54,0.27354294
55,0.28827673
56,0.003781259
58,0.98062223
60,0.9999617
61,0.9798349
63,0.53196645
67,0.9089534
68,0.99993896
69,0.28568852
75,0.9995631
81,0.9826296
82,0.72093093
98,0.83035445
100,0.9830673
107,0.6660458
108,0.019389153
110,0.98191655
113,0.99250543
115,0.9995604
116,0.84760046
119,0.9294779
120,0.9481441
122,0.99996126
125,0.0028848648
130,0.9998784
132,0.7146864
135,0.9978059
137,0.96704924
138,0.92587394
144,0.99799067
145,0.89147705
146,0.9832701
150,0.95382255
155,0.99623924
158,0.9621349
159,0.9998912
160,0.99990666
162,0.8601616
163,0.99991477
164,0.9998962
165,0.9999092
168,0.9775102
172,0.93223846
173,0.008866966
174,0.98269737
175,0.99138135
176,0.83055115
178,0.99991196
181,0.9964466
183,0.9999516
190,0.3063739
198,0.9999246
200,0.99052894
201,0.9996331
204,0.7925763
205,0.26971203
207,0.00038594007
210,0.9200536
211,0.0051879883
213,0.998486
215,0.99984324
218,0.99952763
222,0.9999367
223,0.92351663
227,0.006785035
228,0.99976534
231,0.14023054
238,0.9416299
241,0.9972886
245,0.99633
253,0.99998736
257,0.41367978
263,0.9607791
264,0.9994938
265,0.9999809
274,0.99207956
275,0.31775916
276,0.9358972
279,0.94812465
280,0.9999265
282,0.97075725
283,0.72324514
285,0.4201765
289,0.9713186
290,0.994569
292,0.75672996
294,0.0073317885
301,0.00934732
304,0.9762351
307,0.9999188
309,0.46438593
310,0.9996413
311,0.9996885
312,0.9995438
314,0.97185355
316,0.9999373
318,0.0045738816
321,0.9955366
326,0.99925524
330,0.99996465
331,0.99990004
332,0.9781652
333,0.9998305
337,0.048240125
338,0.98002875
339,0.9620031
340,0.9998769
344,0.56995267
346,0.76089185
348,0.999895
349,0.9773173
350,0.82865036
351,0.9999314
352,0.9999616
355,0.92777044
358,0.99994695
361,0.9657436
363,0.928322
364,0.0025931
365,0.999811
366,0.9991287
367,0.99991846
368,0.52530557
371,0.020427525
374,0.0027542114
378,0.9997683
380,0.9458766
382,0.0028696656
385,0.90705425
390,0.73442847
393,0.9988998
401,0.8519279
402,0.9998562
403,0.9141549
407,0.9995202
408,0.6982478
409,0.9537523
410,0.99954474
412,0.9999289
416,0.9935441
424,0.9998893
425,0.99995494
427,0.5081688
430,0.99996346
438,0.99951136
439,0.66089946
441,0.98862827
447,0.0104807615
449,0.0011897087
452,0.87945354
453,0.99991035
457,0.5893326
464,0.9999392
465,0.57329243
467,0.3498845
468,0.999952
469,0.9382132
470,0.99993265
473,0.9800145
474,0.99566853
475,0.9846282
476,0.8897653
479,0.95453656
480,0.9998823
481,0.95200086
484,0.94209856
487,0.97123
494,0.99985415
495,0.9984471
496,0.9997616
498,0.9999315
500,0.9984727
504,0.99995196
505,0.99986565
512,0.80748105
513,0.985961
516,0.6073265
519,0.94180596
525,0.8595335
527,0.9956576
530,0.88308597
532,0.031820774
536,7.6532364e-05
539,0.99808043
541,0.991698
542,0.99897707
543,0.003405273
544,0.9439212
547,0.6348562
551,0.98497677
552,0.9633592
555,0.024262547
557,0.99831724
563,0.99989766
568,0.99989027
569,0.9992954
571,0.9944665
574,0.9993989
575,0.002834618
580,0.9999474
581,0.7641033
595,0.81660676
598,0.9995651
599,0.9999026
600,0.56625354
602,0.9994423
603,0.9987203
609,0.9999495
611,0.92216074
614,0.789289
615,0.9945416
620,0.999968
624,0.99997747
625,0.9994804
628,0.9983557
633,0.94388765
640,0.99990296
642,0.027341008
646,0.0072515607
648,0.9826367
652,0.9999597
656,0.99997437
657,0.81751394
658,0.9592636
659,0.99984443
663,0.96464014
664,0.90302014
668,0.7840449
669,0.9997929
671,0.85905683
673,0.003295958
675,0.9992985
677,0.8659893
684,0.9745189
686,0.99408025
687,0.9998596
691,0.99988085
693,0.8293445
694,0.9993417
695,0.007808745
696,0.9171237
699,0.29961336
701,0.999879
702,0.99997133
703,0.9992014
705,0.9998481
706,0.9877222
710,0.7204515
711,0.95711374
713,0.99990964
717,0.75560576
718,0.6372465
720,0.999927
721,0.9999382
725,0.37882066
726,0.9692
729,0.96433705
733,0.9612724
739,0.29960233
740,0.99278927
744,0.0040097833
745,0.9999197
750,0.99992007
753,0.9998955
754,0.022096336
758,0.0021964908
759,0.9846822
762,0.9999715
764,0.9999588
767,0.9998438
769,0.99994487
773,0.18439776
774,0.95182276
777,0.0057237744
778,0.024328828
779,0.99308443
785,0.81844854
789,0.9999226
790,0.92721754
791,0.84598184
793,0.48965913
794,0.95135295
797,0.999869
798,0.0010769963
799,0.97127604
800,0.82513994
801,0.8931753
807,0.7024055
808,0.94807065
814,0.708206
815,0.5458461
816,0.99954456
817,0.9999629
819,0.9974297
821,0.977146
822,0.99991524
823,0.999987
829,0.99996823
833,0.9999818
834,0.98893964
836,0.9029295
837,0.020308435
842,0.9999464
843,0.8845688
846,0.008817196
847,0.998976
854,0.99990475
855,0.00089895725
857,0.9839108
859,0.9999678
860,0.9933323
861,0.9820257
862,0.99387443
867,0.99991316
868,0.720196
870,0.009059548
872,0.9958497
875,0.002669692
878,0.9454992
879,0.999813
881,0.9788425
882,0.9999489
883,0.99992776
884,0.99553645
885,0.97270215
886,0.9004421
890,0.98322845
891,0.9991693
898,0.99994713
899,0.9834303
900,0.96648324
902,0.66904104
903,0.95673746
905,0.9999785
906,0.036300957
913,0.0021889806
915,0.99935675
918,0.98357296
923,0.95431244
926,0.9982008
928,0.41945982
929,0.9999001
930,0.9349649
933,0.99998397
936,0.0038050413
938,0.9998986
944,0.96464604
949,0.8050939
953,0.9995487
954,0.9999692
955,0.96957195
956,0.7883633
957,0.0036082864
960,0.99181306
963,0.106823325
964,0.9999366
966,0.99842024
967,0.9998904
972,0.9971973
973,0.99201024
975,0.0034758449
976,0.9526552
977,0.9910939
979,0.99990207
982,0.44046032
984,0.99995387
985,0.9820023
995,0.9840883
996,0.973041
999,0.99987125
1001,0.9695039
1004,0.99985623
1005,0.63238883
1009,0.9957856
1010,0.9995506
1011,0.03876221
1012,0.7057688
1014,0.9903647
1015,0.35774487
1016,0.05542493
1018,0.62789917
1019,0.66473746
1020,0.9899273
1024,0.9999141
1025,0.0018709302
1028,0.8581967
1030,0.9683889
1032,0.5983586
1035,0.99996436
1037,0.99822843
1038,0.0021033287
1042,0.6297523
1043,0.96632624
1053,0.9506831
1055,0.9896663
1057,0.9998692
1059,0.9996183
1061,0.0042612553
1067,0.063755155
1069,0.0055781007
1073,0.99983513
1075,0.9994232
1077,0.99150157
1078,0.35383797
1079,0.9863106
1080,0.99953353
1082,0.9999695
1083,0.90040964
1086,0.9993164
1089,0.95293003
1090,0.9117728
1098,0.966027
1099,0.0031821728
1102,0.99531204
1103,0.0063026547
1104,0.96987945
1105,0.9991304
1106,0.009331286
1115,0.99999374
1118,0.9633153
1124,0.8962454
1130,0.9415647
1134,0.99995226
1135,0.21945858
1137,0.91947496
1142,0.96619844
1143,0.98721415
1144,0.9994509
1147,0.99961096
1155,0.0013014078
1156,0.99413735
1158,0.983465
1160,0.90579087
1162,0.4504953
1168,0.0024248958
1169,0.81831336
1170,0.9998666
1171,0.45871967
1172,0.00020617247
1178,0.92912424
1179,0.99281746
1181,0.9985645
1183,0.9995946
1187,0.9999736
1188,0.9997891
1190,0.7479226
1191,0.9990684
1193,0.99916553
1195,0.9999788
1203,0.46075362
1204,0.005914569
1208,0.1582722
1216,0.99946904
1221,0.89354455
1223,0.9998642
1225,0.82264626
1229,0.9831511
1231,0.98547316
1233,0.9999561
1238,0.99357796
1240,0.9614455
1242,0.99346983
1243,0.9106351
1244,0.9354986
1245,0.96652603
1250,0.0014062524
1251,0.9998682
1257,0.5970422
1260,0.98481995
1261,0.8549554
1282,0.9998666
1283,0.9999968
1285,0.9992798
1286,0.0061115026
1287,0.99975115
1288,0.7583075
1290,0.9852232
